Macht	мощь, сила, могущество, власть
Bösewicht	злодей
Hengst	жеребец
grinsen	скалиться, скалить зубы, усмехаться, ухмыляться; осклабиться
Kappe	шапка
Festland	материк
verspotten	насмехаться, высмеивать, глумиться
gelähmt	парализованный
Vermieter	наймодатель, арендодатель, хозяин
Verzögerung	задержка, промедление
auszahlen	выплачивать; выдавать (деньги и т. п.)
abliefern	доставлять, показывать, демонстрировать
spaßig	шутливый
Nachkomme	потомок
einweihen	посвящать, делиться, открывать
Letzter	последний
auffressen	пожирать, сжирать
Rabatt	скидка
Überlegung	размышление
leuchtend	яркий; блестящий
Speisekarte	меню
gültig	действительно
Peitsche	кнут
aufrufen	вызывать, призывать
Strömung	течение; поток; обтекание
Köter	презр. о любой собаке: собачонка, дворняжка, шавка
zurückschicken	посылать
Magier	маг, волшебник, колдун
Pelz	мех
Todesfall	случай смерти, (зафиксированная) смерть кого-либо
verrecken	сдохнуть, дохнуть, околеть, околевать
Schlamassel	разг. неприятность; неловкое положение; невезуха, невезение, несчастье
