Macht	мощь, сила, могущество, власть
aufführen	воздвигать, возводить, сооружать (здание, стену, насыпь)
überaus	чрезвычайно
Angewohnheit	навык, привычка
Erkenntnis	филос. познание
roh	сырой, необработанный, черновой, грубый
versäumen	упустить, пропустить
verarbeiten	обрабатывать, перерабатывать, расходовать, употреблять
neidisch	завистливый
aufessen	съедать
Streichholz	спичка
örtlich	местный, локальный
andermal	в другой раз
Anwältin	адвокат (о женщине)
Vertreter	представитель
Schal	шарф
beantragen	ходатайствовать
streicheln	гладить, ласкать
einreichen	подавать, вносить
Neugier	любопытство
Gebot	за́поведь
Gleichgewicht	равновесие
stopfen	штопать
beauftragen	поручать
Einspruch	возражение, протест; отпор
schiefgehen	разг. не удаться, провалиться, сорваться, плохо кончиться
anschreien	прикрикнуть, (на) кричать (на кого-л.)
Verzweiflung	отчаяние
Standpunkt	точка зрения
Zwiebel	лук, луковица
Axt	топор
strahlen	излучать, светить, сиять
Privatsphäre	сфера личной жизни, личная сфера
Dose	банка
veranstalten	организовывать, организовать
Einwohner	житель
Hurensohn	уничиж. ублюдок, сукин сын, паршивец
Mönch	монах, славка черноголовая
auskommen	обходиться
verschlucken	проглатывать, глотать (тж. перен.)
Anhänger	прицеп, приверженец
Schwachkopf	слабоумный (тупоумный) человек, дурак
zurücktreten	отступать, отходить, уйти в отставку
bestechen	подкупать
Flüssigkeit	жидкость
liebevoll	заботливый
Knabe	мальчик, отрок
anbringen	устанавливать, приделывать, прикреплять
beängstigend	тревожный, пугающий
heimkommen	возвращаться домой
Tankstelle	заправочная станция, заправочная
Welpe	щенок
verknallen	влюбиться, втюриться, втрескаться
Bezahlung	оплата; платёж
ausbilden	обучать (специальности, военному делу и т. п.), готовить (к работе по какой-л. специальности)
ausländisch	иностранный
veranlassen	поручить, побуждать
Rohr	труба, ствол
Mehrheit	большинство
Tuch	сукно, платок
Hochzeitstag	день свадьбы
büßen	искупать, искупить (вину)
Tänzerin	танцовщица
Unterkunft	убежище
großziehen	воспитывать, растить
schmieren	смазывать, мазать; намазывать; промазывать, вмазывать
heiter	весёлый, безо́блачный, я́сный (о пого́де)
Phantasie	фантазия
voneinander	друг от друга
schmerzhaft	болезненный
Erkältung	простуда
fälschen	подделывать (подпись и т. п.)
Einbrecher	взломщик
Bemühung	усилие, труд, старание; хлопоты (um A о чём-л.)
einlegen	вкладывать, вставлять, помещать; закладывать
herausstellen	оказываться, подчёркивать, выставлять, отстранять
Gitter	сетка
Erziehung	воспитание, воспитание ; [4] дрессировка, взращивание, дрессировка
anerkennen	признавать, уважать
beschaffen	быть в состоянии , быть предназначенный , быть способный, мочь, приобретать
ungerecht	несправедливый
Teich	пруд
Schere	ножницы, клешня
erzielen	добиваться, достигать (чего-л.)
Zeitplan	расписание, график
anstarren	(неподвижно) уставиться, пристально смотреть (на кого-л., на что-л.); вылупить глаза (на кого-л., на что-л.) (разг.)
Köder	приманка
durstig	жаждущий
Pullover	свитер
entspannt	расслабленный, спокойный
vorziehen	предпочитать
Vereinbarung	соглашение, договорённость
aufrecht	прямой (вертикальный)
Telegramm	телеграмма
Dom	собор
meiden	избегать, сторониться, уклоняться
Erdbeere	земляника, клубника
pflücken	рвать, срывать, собирать (цветы, плоды и т. п.)
Gasse	переулок
Schnitt	пересечение, сечение, порез, срезанное
abscheulich	отвратительный
brennend	горящий, пылающий (тж. перен.)
hinbringen	относить; отвозить; отводить; приносить; приводить (туда)
bedürfen	нуждаться (в чём-л.)
Feuerwehr	пожарная команда, пожарник
winken	махать, маячить, светить
Aktie	акция
steif	жёсткий, твёрдый; негнущийся
unverzüglich	немедленно, неотложно, незамедлительно, безотлогательно
Verschwörung	заговор
begehren	жаждать
sichergehen	действовать наверняка, не рисковать
Schnecke	улитка, плюшка, баранка, завиток
Bezirk	район, округ
Genehmigung	одобрение, согласие
abheben	забирать, взлетать, снимать
hegen	оберегать (кого-л., что-л.), лелеять (кого-л.), ухаживать (за кем-л., за чем-л.)
Rahmen	рама, рамка, оконная рама, оконный переплёт
scheren	стричь, подрезать, заботиться, интересоваться
Kaugummi	жевательная резинка, жвачка
sachte	тихонько, осторожно
Beeilung	спешка
Hüfte	бедро, огузок
Institut	институт, здание института, правовой институт
Schläger	бьющий (тж. спорт.)
Ballon	баллон
wickeln	обертывать
mitgehen	сопровождать (кого-л.), идти вместе (с кем-л.)
klarkommen	разг. mit einer Sache klarkommen — завершить какое-л. дело
überflüssig	ненужный, излишний
bestreiten	оспаривать, опровергать
erwerben	приобретать, покупать
kindisch	ребячиться
hinrichten	казнить
Schinken	ветчина
ernten	убирать, пожинать
überbringen	передавать
einmalig	однократный, единственный, необыкновенный, превосходный
Ehrlichkeit	честность
sonderbar	необычный
unzufrieden	недовольный
Nickerchen	дремота
auslachen	высмеивать
Senat	сенат, государственный совет
abbiegen	погнуть, повернуть
Maler	художник, маляр
Obst	фрукты
hüpfen	прыгать, скакать, припрыгивать
Pfeife	свисток, трубка
Nacken	шея
borgen	занимать (брать/давать взаймы)
Schuppen	сарай
Kutsche	экипаж, карета, повозка, корыто
mitfahren	ехать вместе
fünfzehn	пятнадцать
Debatte	прения, обсуждение
Ungeheuer	монстр
Sängerin	певица
fertigmachen	заканчивать / закончить, завершать / завершить, прикончить, доконать
Geschworene	присяжные
erschüttern	потрясти; (по)колебать; подрывать
Abkürzung	сокращение
Entführung	похищение
erstaunt	изумлённый, удивлённый
verwöhnen	ублажать, баловать, избаловать
Eifersucht	ревность
Zustimmung	согласие, одобрение
demütigen	унижать, унижаться
Geschirr	посуда, сбруя
abstürzen	разбиваться
Ärmel	рукав
misstrauisch	недоверчивый
Fledermaus	летучая мышь
schräg	косой / косая / косое, кос / коса / косо, наклонный / наклонная / наклонное, наклонен / наклонна / наклонно
Spitzname	прозвище, кличка, кликуха, погоняло
vertraulich	близкий, интимный; хорошо (давно) знакомый
Kasten	ящик
verspüren	почувствовать, ощутить
Flotte	флот, флотилия
finster	мрачный, тёмный
unverschämt	наглый, нахальный, бесстыдный, бессовестный
ungut	недобрый
Treffer	попадание (напр., пули)
Heimweg	обратный путь домой (на родину)
zufügen	добавить, добавлять, причинять, причинить
Fach	предмет
Geschöpf	существо
Miststück	стерва, дрянь
Bleistift	карандаш, простой карандаш
anfahren	сталкиваться
Lügnerin	врунья, лгунья
ergehen	etw. ergehen lassen — издавать, опубликовывать, объявлять (приказ и т.п.)
beinhalten	включать, требовать, зависеть, предусматривать
leidenschaftlich	страстный, пылкий
restlich	оставшийся, остающийся
erforderlich	необходимый, нужный, требуемый
Ersatz	замена, заменитель, суррогат, эрзац
Einkaufszentrum	торговый центр
wärmen	греть, нагревать, согревать, разогревать, обогревать
mittags	в полдень
Zitrone	лимон
Niere	почка
verhören	допрашивать
Veranda	веранда
bremsen	тормозить
besteigen	влезать
stumm	немой
Bude	лавка, ларёк, палатка (на рынке); магазин
Feuerwerk	фейерверк
Segel	парус
saugen	сосать
auslassen	упускать
Einkommen	доход
Schalter	выключатель, окошко, стойка
vögeln	разг. случаться, спариваться, пялить
verkehren	неперех. общаться, поддерживать отношения (знакомство), сноситься (с кем-л.); связываться (по телефону) (с кем-л.)
Becher	стакан, Чаша
fabelhaft	баснословный, чудесный
Bote	гонец, курьер, посыльный
laufend	бегущий, непрерывный, текущий
apropos	кстати
flüssig	жидкий
Kreuzung	перекрёсток
benachrichtigen	уведомлять, информировать
weitergeben	передавать
abwenden	предотвратить, отвернуть
Ast	ветка, сук, ветвь, сучок
Spende	пожертвование
gegenwärtig	современный
Mücke	комар, Мюкке
sonntags	по воскресеньям
Erlebnis	опыт
erweitern	расширять, распространять, увеличивать
fehlend	недостающий; отсутствующий
Vorlesung	лекция
aufeinander	друг на друга
Meldung	извещение, уведомление
zulegen	добавлять, прибавлять, докладывать
fließend	текущий; текучий
Untergang	закат, заход (светила)
Bildschirm	экран
Veranstaltung	организация подготовка, мероприятие, концерт, собрание
Pfannkuchen	блин, колобок
Karton	картон, коробка
gutaussehend	привлекательный внешне, обладающий приятной внешностью
Wettkampf	соревнование
Großeltern	дедушка и бабушка
Ohrring	серьга, серёжка
Rollstuhl	кресло-каталка
Dampf	пар
Speck	шпик
wiedererkennen	узнавать (кого-л.)
Stockwerk	этаж
